ACCT_CURR_AMOUNT,ORIG_CURR_CD,TRANSACTION_TYPE_DESC,TRANSACTION_TYPE_CATEGORY,ACCOUNT_KEY,ORIGINATOR_NAME,EXECUTION_LOCAL_DATE_TIME,FOREIGN_COUNTRY_CD
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_00264875302926768955_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,CA
250500,USD,Foreign currency cash deposit,TRANSACTIONS,GBP_67279065502117393965_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_29807097144567581617_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_00809563240390827561_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_36980400712692318919_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_21140776692312631474_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
66666,CAD,Card repayment by local currency cash,TRANSACTIONS,GBP_01420767551681070426_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,EU
10000,EUR,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_15757177812153171778_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,MX
100000,EUR,Loan initial funding by foreign currency monetary instrument,TRANSACTIONS,GBP_37912197760269793508_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,US
9900,EUR,Local currency cash deposit,TRANSACTIONS,GBP_15757177812153171778_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.36.00.000000000 PM,CH
15000,CHF,Local currency cash deposit,TRANSACTIONS,GBP_35130180040995445397_T2,KITTY USER LIMITED,27-DEC-12 11.00.00.000000000 AM,CA
250500,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_37889910861517862794_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
10000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_30073261491601519304_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,USD,Foreign currency cash deposit,TRANSACTIONS,GBP_15757177812153171778_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
250500,CAD,Foreign currency cash deposit,TRANSACTIONS,GBP_73777753994515414162_T2,DENEEN SOUTH TRUST,27-DEC-12 12.00.00.000000000 AM,EU
10000,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_38564113900323653867_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
10000,CHF,Local currency cash withdrawals,TRANSACTIONS,CAD_29215919711770461386_T2,Name,27-DEC-12 12.00.00.000000000 AM,US
5000,CHF,Local currency cash deposit,TRANSACTIONS,GBP_58565123399372057307_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,EUR,Card repayment by local currency cash,TRANSACTIONS,GBP_59197916261469530101_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CA
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_98001199763577401993_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
250500,USD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_80687096660949569140_T2,PEARSON COR COAST LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_54123856723021062895_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,USD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_46037078190583333805_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,EU
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_42584471883073829904_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_57844213548858652453_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,CAD_40801949775148726984_T2,Name,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,NZD_69409630566338825232_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CA
50000,CAD,Local currency cash withdrawals,TRANSACTIONS,GBP_68021768860626260790_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_27199034646055326113_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_58423659492148233890_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_47996456341722210788_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_59044694397202808568_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,MXN,Card repayment by foreign currency cash,TRANSACTIONS,GBP_59044694397202808568_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,EU
250500,USD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_86134757561089120103_T2,KLAUDIA FREYTAG TRUST,27-DEC-12 12.00.00.000000000 AM,MX
250500,USD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_41237712757191757510_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,US
250500,CAD,Foreign currency cash deposit,TRANSACTIONS,GBP_51799386177917329829_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_30223482659964680104_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_08600472325981718099_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_98275721400277684253_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_31649052025706615223_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,MXN,Card repayment by foreign currency cash,TRANSACTIONS,GBP_51799386177917329829_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,EU
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_37889910861517862794_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_57528030766916765809_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
250500,USD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_13554238011704193331_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_25885823882844135274_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
77777,CHF,Card repayment by local currency cash,TRANSACTIONS,CAD_79011363638814921098_T2,Name,27-DEC-12 12.00.00.000000000 AM,CH
150000,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_41456818755471763267_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
1000000,CHF,Local currency personal check deposits,TRANSACTIONS,GBP_78308127344305851504_T2,IHEART KIDS,27-DEC-12 12.00.00.000000000 AM,CH
50000,CAD,Contract Withdrawal,TRANSACTIONS,GBP_51202094498097800030_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,EU
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_08661873223637910752_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,MX
77777,EUR,Card repayment by local currency cash,TRANSACTIONS,GBP_88767670338591322489_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,US
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,UYU_39600330504897920225_T2,EMILY JOHN,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_24352427382800026380_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
500000,MXN,Loan repayment by local currency cash,TRANSACTIONS,GBP_97585606327551491100_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
500000,USD,Loan repayment by local currency cash,TRANSACTIONS,GBP_68566697747337722819_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CA
500000,USD,Loan repayment by local currency cash,TRANSACTIONS,GBP_93769769308031936541_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
500000,CAD,Loan repayment by local currency cash,TRANSACTIONS,GBP_49311108758913003994_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
500000,CHF,Loan repayment by local currency cash,TRANSACTIONS,GBP_31554887563885875608_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
500000,CHF,Loan repayment by local currency cash,TRANSACTIONS,CAD_72123332678620598884_T2,Name,27-DEC-12 12.00.00.000000000 AM,EU
500000,CHF,Loan repayment by local currency cash,TRANSACTIONS,JPY_60805500304407693792_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,MX
500000,EUR,Loan repayment by local currency cash,TRANSACTIONS,GBP_82694133659519159727_T2,KLAUDIA FREYTAG TRUST,27-DEC-12 12.00.00.000000000 AM,US
500000,MXN,Loan repayment by local currency cash,TRANSACTIONS,GBP_74821121652008209563_T2,IHEART KIDS,27-DEC-12 12.00.00.000000000 AM,CH
500000,USD,Loan repayment by local currency cash,TRANSACTIONS,GBP_41953644107719924676_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
500000,CHF,Loan repayment by local currency cash,TRANSACTIONS,GBP_61410120257151883025_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
500000,USD,Loan repayment by local currency cash,TRANSACTIONS,GBP_12140525373954679862_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_74440848439035903059_T2,IHEART KIDS,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_82536479464384577429_T2,KLAUDIA FREYTAG TRUST,27-DEC-12 12.00.00.000000000 AM,EU
250500,MXN,Card repayment by local currency cash,TRANSACTIONS,GBP_37450353451707577084_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_66093897582757655245_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
250500,CAD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_57558023337235768078_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_22363726856767529849_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_59063406830505416921_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_43905869623436272322_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_82084923821689253642_T2,KLAUDIA FREYTAG TRUST,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_12479013430864472959_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,EU
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_16894177064316831151_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,MX
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_77270709368508786798_T2,IHEART KIDS,27-DEC-12 12.00.00.000000000 AM,US
250500,CAD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_23782503980663150683_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_33782155654502003492_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_24352427382800026380_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_57810821910223570751_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CA
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_74097652097571864942_T2,IHEART KIDS,27-DEC-12 12.00.00.000000000 AM,CH
250500,MXN,Card repayment by foreign currency cash,TRANSACTIONS,GBP_40633152720340346831_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,USD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_50525217618607664639_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,CAD_79011363638814921098_T2,Name,27-DEC-12 12.00.00.000000000 AM,EU
250500,USD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_97683000794832831829_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,MX
250500,MXN,Card repayment by foreign currency cash,TRANSACTIONS,GBP_07708706922839026586_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,US
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,NZD_24289247494036087181_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_27680488197677015987_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_41953644107719924676_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
50000,CAD,Local currency cash withdrawals,TRANSACTIONS,GBP_69717693384085785853_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_95282272096263717770_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_52043212456162049955_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,EU
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_23084619730103674837_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_66425434075832353288_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
100001,MXN,Foreign currency monetary instrument deposits,TRANSACTIONS,EUR_08543541692186509051_T2,Name,27-DEC-12 12.00.00.000000000 AM,CH
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_14080049809434937063_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CA
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_44820603807896922606_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,CAD,Local currency cash withdrawals,TRANSACTIONS,GBP_97006347174604556418_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
20000,CHF,Card foreign currency ATM withdrawals,TRANSACTIONS,GBP_53278539242540413089_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
9000,CHF,Loan repayment by local currency cash,TRANSACTIONS,ZAR_00240340605337950029_T2,EMILY JOHN,27-DEC-12 12.00.00.000000000 AM,EU
2000,CHF,Local currency cash deposit,TRANSACTIONS,GBP_96628151318257930882_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 10.00.00.000000000 AM,MX
10000,EUR,Contract Withdrawal,TRANSACTIONS,USD_45417152327853737935_T2,EMILY JOHN,27-DEC-12 12.00.00.000000000 AM,US
250500,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_62578519103771142042_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,USD,Foreign currency cash deposit,TRANSACTIONS,GBP_02508539554681718275_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,CA
500000,CHF,Loan initial funding by foreign currency personal check,TRANSACTIONS,JPY_27565227491380207292_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
50330,USD,Card local currency retailer charge,TRANSACTIONS,GBP_54034757467106183839_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CA
6100,MXN,Loan repayment by foreign currency personal check,TRANSACTIONS,USD_65427512437835952681_T2,EMILY JOHN,27-DEC-12 12.00.00.000000000 AM,CH
8500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_07587022436941655193_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_43419026066231489231_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
10000,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_13197945453607984297_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,EU
10000,CAD,Local currency cash withdrawals,TRANSACTIONS,GBP_02508539554681718275_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,MX
88888,EUR,Card repayment by local currency cash,TRANSACTIONS,GBP_43419026066231489231_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
12280,EUR,Local currency personal check deposits,TRANSACTIONS,JPY_89196903186177071682_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 03.57.21.000000000 AM,CH
3580,EUR,Travelers check purchase,TRANSACTIONS,CZK_47779334719362263044_T2,Name,27-DEC-12 07.33.56.000000000 AM,CA
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_13475015365388506660_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_33482520314869432376_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_58704541645242000248_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_89733721662813182150_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,EU
50000,CAD,Local currency cash withdrawals,TRANSACTIONS,GBP_22378641282569373062_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_66519269502029844087_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_53661406050904031420_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_40633152720340346831_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_89833548303143958335_T2,DELLUCCI AMERICAN STUDIO S.R.L.,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_26165335428988240129_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,USD,Foreign currency cash deposit,TRANSACTIONS,GBP_08600472325981718099_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_70354682669556426931_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,EU
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_67420145841892326097_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,MX
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_69717693384085785853_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_73495513680885567301_T2,DENEEN SOUTH TRUST,27-DEC-12 12.00.00.000000000 AM,CH
250500,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_84355061292239488806_T2,KLAUDIA FREYTAG TRUST,27-DEC-12 12.00.00.000000000 AM,CA
250500,CHF,Foreign currency cash deposit,TRANSACTIONS,GBP_62135196470486801448_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,CAD,Local currency cash withdrawals,TRANSACTIONS,GBP_40106305559745861944_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,EUR_87585611464316549886_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,CH
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_26723469660719924916_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_61594267466773660778_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_31397131585771139269_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,EU
250500,MXN,Foreign currency cash deposit,TRANSACTIONS,GBP_28949154900212781946_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_30223482659964680104_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,US
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_21735177342694680314_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
50000,CAD,Local currency cash withdrawals,TRANSACTIONS,GBP_29807097144567581617_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_41237712757191757510_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_16852693398052964611_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_58341193390849738509_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_07708706922839026586_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,EU
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_34044614660005980889_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_67279065502117393965_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_19129319037126128851_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_43511383099269667149_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CA
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_82377571252983111915_T2,KLAUDIA FREYTAG TRUST,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_04418399620582964232_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_64107917606305547346_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CH
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_83100806991341010019_T2,KLAUDIA FREYTAG TRUST,27-DEC-12 12.00.00.000000000 AM,EU
50000,CAD,Local currency cash withdrawals,TRANSACTIONS,GBP_38880993025975424841_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,MX
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_70090788961364891928_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,US
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_13173081153909711647_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
50000,EUR,Local currency cash withdrawals,TRANSACTIONS,GBP_57377706827659044752_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CA
50000,CHF,Local currency cash withdrawals,TRANSACTIONS,GBP_41237712757191757510_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
50000,MXN,Local currency cash withdrawals,TRANSACTIONS,GBP_28715034936256741542_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CA
50000,USD,Local currency cash withdrawals,TRANSACTIONS,GBP_31987620636504150364_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,USD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_02508539554681718275_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,CH
250500,CAD,Card repayment by foreign currency cash,TRANSACTIONS,GBP_28552080405208932203_T2,KITTY USER LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,EUR_26723846775234113487_T2,Name,27-DEC-12 12.00.00.000000000 AM,EU
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_64066075891662993234_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,MX
250500,CHF,Card repayment by foreign currency cash,TRANSACTIONS,GBP_22781665992085346523_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,US
250500,EUR,Card repayment by foreign currency cash,TRANSACTIONS,GBP_15757177812153171778_T2,LOUIS GOODWIN TRUST,27-DEC-12 12.00.00.000000000 AM,CH
500000,MXN,Loan repayment by local currency cash,TRANSACTIONS,GBP_69717693384085785853_T2,DANIEL MAURER,27-DEC-12 12.00.00.000000000 AM,CA
500000,USD,Loan repayment by local currency cash,TRANSACTIONS,GBP_02301780082181431700_T2,MATTHEW METCALFE ESSENTIALS,27-DEC-12 12.00.00.000000000 AM,CH
500000,CHF,Loan repayment by local currency cash,TRANSACTIONS,GBP_22584127761464207508_T2,CYBER WOOD LIMITED,27-DEC-12 12.00.00.000000000 AM,CH
